PublicationDate,RiskLevel,Premium,SuggestedPrice,NotificationID
01-Jan-2021,Low,22,22,
02-Jan-2021,Low,22,22,
03-Jan-2021,Low,22,22,
04-Jan-2021,Low,22,22,
05-Jan-2021,Low,22,22,
06-Jan-2021,Low,22,22,
07-Jan-2021,Low,22,22,
08-Jan-2021,Low,22,22,
09-Jan-2021,Low,22,22,
10-Jan-2021,Low,22,22,
11-Jan-2021,Low,22,22,
12-Jan-2021,Low,22,22,
13-Jan-2021,Low,22,22,
14-Jan-2021,Low,22,22,
15-Jan-2021,Low,22,22,
16-Jan-2021,Low,22,22,
17-Jan-2021,Low,22,22,
18-Jan-2021,Low,22,22,
19-Jan-2021,Low,22,22,
20-Jan-2021,Low,22,22,
21-Jan-2021,Low,22,22,
22-Jan-2021,Low,22,22,
23-Jan-2021,Low,22,22,
24-Jan-2021,Low,22,22,
25-Jan-2021,Low,22,22,
26-Jan-2021,Low,22,22,
27-Jan-2021,Low,22,22,
28-Jan-2021,Low,22,22,
29-Jan-2021,Low,22,22,
30-Jan-2021,Low,22,22,
31-Jan-2021,Low,22,22,
01-Feb-2021,High,22,1500,6DA58DD8E31A909C019499416C0D5357
02-Feb-2021,High,22,1500,6DA58DD8E31A909C019499416C0D5357
03-Feb-2021,High,22,1500,6DA58DD8E31A909C019499416C0D5357
04-Feb-2021,Mid,22,1000,6DA58DD8E31A909C019499416C0D5357
05-Feb-2021,Mid,22,800,6DA58DD8E31A909C019499416C0D5357
06-Feb-2021,Mid,22,500,6DA58DD8E31A909C019499416C0D5357
07-Feb-2021,Low,22,22,
08-Feb-2021,Low,22,22,
09-Feb-2021,Low,22,22,
10-Feb-2021,Low,22,22,
11-Feb-2021,Low,22,22,
12-Feb-2021,Low,22,22,
13-Feb-2021,Low,22,22,
14-Feb-2021,Low,22,22,
15-Feb-2021,Low,22,22,
16-Feb-2021,Low,22,22,
17-Feb-2021,Low,22,22,
18-Feb-2021,Low,22,22,
19-Feb-2021,Low,22,22,
20-Feb-2021,Low,22,22,
21-Feb-2021,Low,22,22,
22-Feb-2021,Low,22,22,
23-Feb-2021,Low,22,22,
24-Feb-2021,Low,22,22,
25-Feb-2021,Low,22,22,
26-Feb-2021,Low,22,22,
27-Feb-2021,Low,22,22,
28-Feb-2021,Low,22,22,
01-Mar-2021,Low,22,22,
02-Mar-2021,Low,22,22,
03-Mar-2021,Low,22,22,
04-Mar-2021,Low,22,22,
05-Mar-2021,Low,22,22,
06-Mar-2021,Low,22,22,
07-Mar-2021,Low,22,22,
08-Mar-2021,Low,22,22,
09-Mar-2021,Low,22,22,
10-Mar-2021,Low,22,22,
11-Mar-2021,Low,22,20,
12-Mar-2021,Low,22,20,
13-Mar-2021,Low,22,20,
14-Mar-2021,Low,22,20,
15-Mar-2021,Low,22,20,
16-Mar-2021,Mid,800,20,
17-Mar-2021,Low,22,20,
18-Mar-2021,Low,22,20,
19-Mar-2021,Low,22,20,
20-Mar-2021,Low,22,20,
21-Mar-2021,Low,22,20,
